VFG000349__psaE Made VFG000349__psaE into gene. strand=+, frame=0
VFG000350__psaF Made VFG000350__psaF into gene. strand=+, frame=0
VFG000351__antigen_4 Made VFG000351__antigen_4 into gene. strand=+, frame=0
VFG000352__psaB Made VFG000352__psaB into gene. strand=+, frame=0
VFG000353__psaC Made VFG000353__psaC into gene. strand=+, frame=0
VFG000354__ail Made VFG000354__ail into gene. strand=+, frame=0
VFG000356__inv Made VFG000356__inv into gene. strand=+, frame=0
VFG000358__fyuA Made VFG000358__fyuA into gene. strand=+, frame=0
VFG000359__ybtE Made VFG000359__ybtE into gene. strand=+, frame=0
VFG000360__ybtT Made VFG000360__ybtT into gene. strand=+, frame=0
VFG000361__ybtU Made VFG000361__ybtU into gene. strand=+, frame=0
VFG000362__irp1 Made VFG000362__irp1 into gene. strand=+, frame=0
VFG000363__irp2 Made VFG000363__irp2 into gene. strand=+, frame=0
VFG000364__ybtA Made VFG000364__ybtA into gene. strand=+, frame=0
VFG000365__ybtP Made VFG000365__ybtP into gene. strand=+, frame=0
VFG000366__ybtQ Made VFG000366__ybtQ into gene. strand=+, frame=0
VFG000367__ybtX Made VFG000367__ybtX into gene. strand=+, frame=0
VFG000368__ybtS Made VFG000368__ybtS into gene. strand=+, frame=0
VFG000372__sycE_yerA Made VFG000372__sycE_yerA into gene. strand=+, frame=0
VFG000373__yopE Made VFG000373__yopE into gene. strand=+, frame=0
VFG000374__yopK_yopQ Made VFG000374__yopK_yopQ into gene. strand=+, frame=0
VFG000375__yopT Made VFG000375__yopT into gene. strand=+, frame=0
VFG000376__sycT Made VFG000376__sycT into gene. strand=+, frame=0
VFG000377__yopM Made VFG000377__yopM into gene. strand=+, frame=0
VFG000378__yopD Made VFG000378__yopD into gene. strand=+, frame=0
VFG000379__yopB Made VFG000379__yopB into gene. strand=+, frame=0
VFG000380__sycD_lcrH Made VFG000380__sycD_lcrH into gene. strand=+, frame=0
VFG000381__lcrV Made VFG000381__lcrV into gene. strand=+, frame=0
VFG000382__lcrG Made VFG000382__lcrG into gene. strand=+, frame=0
VFG000383__lcrR Made VFG000383__lcrR into gene. strand=+, frame=0
VFG000384__yscV_lcrD Made VFG000384__yscV_lcrD into gene. strand=+, frame=0
VFG000385__yscY Made VFG000385__yscY into gene. strand=+, frame=0
VFG000386__yscX Made VFG000386__yscX into gene. strand=+, frame=0
VFG000387__sycN Made VFG000387__sycN into gene. strand=+, frame=0
VFG000388__tyeA Made VFG000388__tyeA into gene. strand=+, frame=0
VFG000389__lcrE_yopN Made VFG000389__lcrE_yopN into gene. strand=+, frame=0
VFG000390__yscN Made VFG000390__yscN into gene. strand=+, frame=0
VFG000391__yscO Made VFG000391__yscO into gene. strand=+, frame=0
VFG000392__yscP Made VFG000392__yscP into gene. strand=+, frame=0
VFG000393__yscQ Made VFG000393__yscQ into gene. strand=+, frame=0
VFG000394__yscR Made VFG000394__yscR into gene. strand=+, frame=0
VFG000395__yscS Made VFG000395__yscS into gene. strand=+, frame=0
VFG000396__yscT Made VFG000396__yscT into gene. strand=+, frame=0
VFG000397__yscU Made VFG000397__yscU into gene. strand=+, frame=0
VFG000398__virG_yscW Made VFG000398__virG_yscW into gene. strand=+, frame=0
VFG000399__virF_lcrF Made VFG000399__virF_lcrF into gene. strand=+, frame=0
VFG000400__yscA Made VFG000400__yscA into gene. strand=+, frame=0
VFG000401__yscB Made VFG000401__yscB into gene. strand=+, frame=0
VFG000402__yscC Made VFG000402__yscC into gene. strand=+, frame=0
VFG000403__yscD Made VFG000403__yscD into gene. strand=+, frame=0
VFG000404__yscE Made VFG000404__yscE into gene. strand=+, frame=0
VFG000405__yscF Made VFG000405__yscF into gene. strand=+, frame=0
VFG000406__yscG Made VFG000406__yscG into gene. strand=+, frame=0
VFG000407__yopR_yscH_lcrP Made VFG000407__yopR_yscH_lcrP into gene. strand=+, frame=0
VFG000408__lcrO_yscI Made VFG000408__lcrO_yscI into gene. strand=+, frame=0
VFG000409__ylpB_yscJ Made VFG000409__ylpB_yscJ into gene. strand=+, frame=0
VFG000410__yscK Made VFG000410__yscK into gene. strand=+, frame=0
VFG000411__yscL Made VFG000411__yscL into gene. strand=+, frame=0
VFG000412__lcrQ_yscM Made VFG000412__lcrQ_yscM into gene. strand=+, frame=0
VFG000413__yopH Made VFG000413__yopH into gene. strand=+, frame=0
VFG000414__yopJ_yopP Made VFG000414__yopJ_yopP into gene. strand=+, frame=0
VFG000415__yopO_ypkA Made VFG000415__yopO_ypkA into gene. strand=+, frame=0
VFG000416__sycH Made VFG000416__sycH into gene. strand=+, frame=0
VFG000417__pla Made VFG000417__pla into gene. strand=+, frame=0
VFG000418__caf1 Made VFG000418__caf1 into gene. strand=+, frame=0
VFG000419__caf1A Made VFG000419__caf1A into gene. strand=+, frame=0
VFG000420__caf1M Made VFG000420__caf1M into gene. strand=+, frame=0
VFG000421__caf1R Made VFG000421__caf1R into gene. strand=+, frame=0
VFG000422__ymt Made VFG000422__ymt into gene. strand=+, frame=0
VFG000423__vexE Made VFG000423__vexE into gene. strand=+, frame=0
VFG000424__vexD Made VFG000424__vexD into gene. strand=+, frame=0
VFG000425__vexC Made VFG000425__vexC into gene. strand=+, frame=0
VFG000426__ABC_2_type_transporter Made VFG000426__ABC_2_type_transporter into gene. strand=+, frame=0
VFG000427__vexA Made VFG000427__vexA into gene. strand=+, frame=0
VFG000428__tviE Made VFG000428__tviE into gene. strand=+, frame=0
VFG000429__tviD Made VFG000429__tviD into gene. strand=+, frame=0
VFG000430__tviC Made VFG000430__tviC into gene. strand=+, frame=0
VFG000431__tviB Made VFG000431__tviB into gene. strand=+, frame=0
VFG000432__tviA Made VFG000432__tviA into gene. strand=+, frame=0
VFG000433__pefD Made VFG000433__pefD into gene. strand=+, frame=0
VFG000434__pefC Made VFG000434__pefC into gene. strand=+, frame=0
VFG000435__pefA Made VFG000435__pefA into gene. strand=+, frame=0
VFG000436__pefB Made VFG000436__pefB into gene. strand=+, frame=0
VFG000437__spvD Made VFG000437__spvD into gene. strand=+, frame=0
