2017116.192055__OXA_382 Made 2017116.192055__OXA_382 into gene. strand=+, frame=0
2017116.192113__SHV_6 Made 2017116.192113__SHV_6 into gene. strand=+, frame=0
2017116.192119__tet40 Made 2017116.192119__tet40 into gene. strand=+, frame=0
2017116.192123__IMI_7 Made 2017116.192123__IMI_7 into gene. strand=+, frame=0
2017116.192129__tet_D_ Made 2017116.192129__tet_D_ into gene. strand=+, frame=0
2017116.192134__LRA_18 Made 2017116.192134__LRA_18 into gene. strand=+, frame=0
2017116.192138__phoP__Pseudomonas_aeruginosa_ Made 2017116.192138__phoP__Pseudomonas_aeruginosa_ into gene. strand=+, frame=0
2017116.192143__folP__Escherichia_coli_ Made 2017116.192143__folP__Escherichia_coli_ into gene. strand=+, frame=0
2017116.192148__PDC_2 Made 2017116.192148__PDC_2 into gene. strand=+, frame=0
2017116.192153__NDM_14 Made 2017116.192153__NDM_14 into gene. strand=+, frame=0
2017116.192157__OXA_387 Made 2017116.192157__OXA_387 into gene. strand=+, frame=0
2017116.192213__OXA_415 Made 2017116.192213__OXA_415 into gene. strand=+, frame=0
2017116.192222__CMY_59 Made 2017116.192222__CMY_59 into gene. strand=+, frame=0
2017116.192227__cat Made 2017116.192227__cat into gene. strand=+, frame=0
2017116.192241__OXA_116 Made 2017116.192241__OXA_116 into gene. strand=+, frame=0
2017116.192255__ACT_18 Made 2017116.192255__ACT_18 into gene. strand=+, frame=0
2017116.19228__aac_3__IIa Made 2017116.19228__aac_3__IIa into gene. strand=+, frame=0
2017116.192332__cat Made 2017116.192332__cat into gene. strand=+, frame=0
2017116.1923__BcI Made 2017116.1923__BcI into gene. strand=+, frame=0
2017116.20026__TEM_89 Made 2017116.20026__TEM_89 into gene. strand=+, frame=0
2017116.20036__nalC__Pseudomonas_aeruginosa_ Made 2017116.20036__nalC__Pseudomonas_aeruginosa_ into gene. strand=+, frame=0
2017116.20045__mexR__Pseudomonas_aeruginosa_ Made 2017116.20045__mexR__Pseudomonas_aeruginosa_ into gene. strand=+, frame=0
2017116.20049__aac_6PRIME__Ib Made 2017116.20049__aac_6PRIME__Ib into gene. strand=+, frame=0
2017116.20054__TEM_215 Made 2017116.20054__TEM_215 into gene. strand=+, frame=0
2017116.20059__CARB_2 Made 2017116.20059__CARB_2 into gene. strand=+, frame=0
2017116.201016__OXA_426 Made 2017116.201016__OXA_426 into gene. strand=+, frame=0
2017116.201034__OXA_425 Made 2017116.201034__OXA_425 into gene. strand=+, frame=0
2017116.201049__ACT_22 Made 2017116.201049__ACT_22 into gene. strand=+, frame=0
2017116.201054__SHV_119 Made 2017116.201054__SHV_119 into gene. strand=+, frame=0
2017116.20107__catB6 Made 2017116.20107__catB6 into gene. strand=+, frame=0
2017116.201114__ant_4PRIME__Ib Made 2017116.201114__ant_4PRIME__Ib into gene. strand=+, frame=0
2017116.201119__QnrC Made 2017116.201119__QnrC into gene. strand=+, frame=0
2017116.201123__OXA_454 Made 2017116.201123__OXA_454 into gene. strand=+, frame=0
2017116.201151__LRA_7 Made 2017116.201151__LRA_7 into gene. strand=+, frame=0
2017116.201155__OXA_314 Made 2017116.201155__OXA_314 into gene. strand=+, frame=0
2017116.20119__OXA_317 Made 2017116.20119__OXA_317 into gene. strand=+, frame=0
2017116.201214__ramA Made 2017116.201214__ramA into gene. strand=+, frame=0
2017116.20121__CMY_115 Made 2017116.20121__CMY_115 into gene. strand=+, frame=0
2017116.201233__qacH Made 2017116.201233__qacH into gene. strand=+, frame=0
2017116.201241__SHV_53 Made 2017116.201241__SHV_53 into gene. strand=+, frame=0
2017116.201247__aac_3__IIa Made 2017116.201247__aac_3__IIa into gene. strand=+, frame=0
2017116.20124__SHV_3 Made 2017116.20124__SHV_3 into gene. strand=+, frame=0
2017116.201256__OXA_233 Made 2017116.201256__OXA_233 into gene. strand=+, frame=0
2017116.201316__CMY_105 Made 2017116.201316__CMY_105 into gene. strand=+, frame=0
2017116.20131__OXA_362 Made 2017116.20131__OXA_362 into gene. strand=+, frame=0
2017116.201326__ACT_19 Made 2017116.201326__ACT_19 into gene. strand=+, frame=0
2017116.20132__SHV_165 Made 2017116.20132__SHV_165 into gene. strand=+, frame=0
2017116.201331__OXA_397 Made 2017116.201331__OXA_397 into gene. strand=+, frame=0
2017116.201336__CARB_23 Made 2017116.201336__CARB_23 into gene. strand=+, frame=0
2017116.201341__IMP_21 Made 2017116.201341__IMP_21 into gene. strand=+, frame=0
2017116.20134__SHV_162 Made 2017116.20134__SHV_162 into gene. strand=+, frame=0
2017116.201356__SHV_23 Made 2017116.201356__SHV_23 into gene. strand=+, frame=0
2017116.20135__TEM_90 Made 2017116.20135__TEM_90 into gene. strand=+, frame=0
2017116.20137__aadA25 Made 2017116.20137__aadA25 into gene. strand=+, frame=0
2017116.201412__CepS Made 2017116.201412__CepS into gene. strand=+, frame=0
2017116.20143__CTX_M_107 Made 2017116.20143__CTX_M_107 into gene. strand=+, frame=0
2017116.201459__CMY_50 Made 2017116.201459__CMY_50 into gene. strand=+, frame=0
2017116.20146__SHV_25 Made 2017116.20146__SHV_25 into gene. strand=+, frame=0
2017116.201524__ESP_1 Made 2017116.201524__ESP_1 into gene. strand=+, frame=0
2017116.20152__FomB Made 2017116.20152__FomB into gene. strand=+, frame=0
2017116.201533__OXA_361 Made 2017116.201533__OXA_361 into gene. strand=+, frame=0
2017116.201538__LRA_1 Made 2017116.201538__LRA_1 into gene. strand=+, frame=0
2017116.201544__CMY_100 Made 2017116.201544__CMY_100 into gene. strand=+, frame=0
2017116.201549__catB2 Made 2017116.201549__catB2 into gene. strand=+, frame=0
2017116.20154__CMY_102 Made 2017116.20154__CMY_102 into gene. strand=+, frame=0
2017116.201553__OXA_435 Made 2017116.201553__OXA_435 into gene. strand=+, frame=0
2017116.201558__QnrB45 Made 2017116.201558__QnrB45 into gene. strand=+, frame=0
2017116.20159__KPC_12 Made 2017116.20159__KPC_12 into gene. strand=+, frame=0
2017116.2015__CARB_19 Made 2017116.2015__CARB_19 into gene. strand=+, frame=0
2017116.201617__phoP__Klebsiella_pneumoniae_ Made 2017116.201617__phoP__Klebsiella_pneumoniae_ into gene. strand=+, frame=0
2017116.201636__CMY_90 Made 2017116.201636__CMY_90 into gene. strand=+, frame=0
2017116.20163__SHV_20 Made 2017116.20163__SHV_20 into gene. strand=+, frame=0
2017116.201717__CTX_M_157 Made 2017116.201717__CTX_M_157 into gene. strand=+, frame=0
2017116.201741__aac_6PRIME__Ib8 Made 2017116.201741__aac_6PRIME__Ib8 into gene. strand=+, frame=0
2017116.201746__floR Made 2017116.201746__floR into gene. strand=+, frame=0
2017116.201755__floR Made 2017116.201755__floR into gene. strand=+, frame=0
2017116.201814__TEM_214 Made 2017116.201814__TEM_214 into gene. strand=+, frame=0
2017116.201819__MIR_17 Made 2017116.201819__MIR_17 into gene. strand=+, frame=0
2017116.201834__dfrC Made 2017116.201834__dfrC into gene. strand=+, frame=0
2017116.201838__KPC_17 Made 2017116.201838__KPC_17 into gene. strand=+, frame=0
2017116.201844__LRA_8 Made 2017116.201844__LRA_8 into gene. strand=+, frame=0
2017116.201848__GIM_2 Made 2017116.201848__GIM_2 into gene. strand=+, frame=0
2017116.201853__BJP_1 Made 2017116.201853__BJP_1 into gene. strand=+, frame=0
2017116.20189__aph_4__Ib Made 2017116.20189__aph_4__Ib into gene. strand=+, frame=0
2017116.201917__aph_3PRIME__VI Made 2017116.201917__aph_3PRIME__VI into gene. strand=+, frame=0
2017116.201927__aadA7 Made 2017116.201927__aadA7 into gene. strand=+, frame=0
2017116.20193__TEM_205 Made 2017116.20193__TEM_205 into gene. strand=+, frame=0
