VFG0-	VFG012832__ipaH1.4	VFG012833__ipaH1.4	VFG012834__ipaH1.4	VFG012835__ipaH1.4	VFG012836__ipaH1.4	VFG012838__ipaH2.5	VFG012839__ipaH2.5	VFG020143__ipaH1.4
VFG0-_1	VFG012840__ipaH4.5	VFG012841__ipaH4.5	VFG012842__ipaH4.5	VFG012843__ipaH4.5	VFG012844__ipaH4.5	VFG020144__ipaH4.5
VFG0-_2	VFG002041__ipaH7.8	VFG012845__ipaH7.8	VFG012847__ipaH7.8	VFG012848__ipaH7.8	VFG012849__ipaH7.8	VFG020145__ipaH7.8
VFG0-_3	VFG002042__ipaH9.8	VFG012850__ipaH9.8	VFG012852__ipaH9.8	VFG012853__ipaH9.8	VFG012854__ipaH9.8	VFG020146__ipaH9.8
VFG012837__ipaH2	VFG012837__ipaH2.5
cluster	VFG043571__bapA
cluster_1	VFG004447__ratB	VFG021119__ratB
cluster_10	VFG000835__stx1A	VFG001828__stxA	VFG033848__stx1A	VFG033849__stx1A	VFG033850__stx1A	VFG043751__stx1vA
cluster_100	VFG041576__espS_ospB
cluster_1000	VFG000856__agg3B
cluster_1001	VFG004356__sthC	VFG021632__sthB
cluster_1002	VFG001447__cnf1	VFG012493__cnf1	VFG033903__cnf1	VFG033904__cnf1
cluster_1003	VFG002354__flgN	VFG023686__flgN
cluster_1004	VFG042235__hrpO
cluster_1005	VFG042800__ppdD	VFG045936__ppdD	VFG045937__ppdD	VFG045939__ppdD	VFG045947__ppdD_hcpA	VFG045948__ppdD_hcpA	VFG045950__O3M_20925	VFG045954__ppdD	VFG045955__ppdD	VFG045956__ECP_0108	VFG045958__ppdD	VFG045962__ppdD	VFG045972__ppdD
cluster_1006	VFG000848__aggB	VFG034587__agg3B	VFG034588__agg3B
cluster_1007	VFG002309__pilM
cluster_1008	VFG013653__pilM
cluster_1009	VFG033739__espF	VFG033740__espF
cluster_101	VFG034599__faeG
cluster_1010	VFG000504__sscB	VFG003873__sscB	VFG003875__sscB	VFG018467__sscB	VFG018468__sscB	VFG020779__sscB	VFG020780__sscB	VFG020782__sscB
cluster_1011	VFG003538__YE3559
cluster_1012	VFG018366__csgA
cluster_1013	VFG002708__cnf	VFG019014__cnf	VFG023773__cnf
cluster_1014	VFG035317__EC55989_3319	VFG035318__EC042_4545
cluster_1015	VFG040935__etpG
cluster_1016	VFG042459__cfaD_
